heifer_101	heifer_103	heifer_107	heifer_108	heifer_111	heifer_113	heifer_114	heifer_115	heifer_116	heifer_117	heifer_119	heifer_120	heifer_121	heifer_92.	heifer_93.	heifer_94.	heifer_97.	heifer_99.
ENSBTAG00000018704	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSBTAG00000004869	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSBTAG00000043726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ENSBTAG00000029827	593	898	3105	726	675	633	1272	518	273	737	251	97	331	956	1299	911	851	398
ENSBTAG00000029912	1395	3379	6695	1798	981	607	3278	2786	502	3192	1692	245	805	1059	4095	1542	2093	910
ENSBTAG00000029768	126	295	1912	366	402	333	633	117	23	170	85	6	26	323	294	411	340	63
ENSBTAG00000054337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000044220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000019314	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	1	0	0
ENSBTAG00000052575	2	0	0	0	2	1	0	3	0	3	2	0	0	5	0	0	0	2
ENSBTAG00000047293	1	0	1	0	1	0	0	0	0	3	0	0	0	0	3	0	0	0
ENSBTAG00000054742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000002623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000012908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSBTAG00000054574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000034347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSBTAG00000038512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000048954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000038422	0	1	3	0	1	0	0	1	0	5	2	2	1	3	5	1	4	0
ENSBTAG00000048578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000050084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSBTAG00000046755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000010462	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSBTAG00000028813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000043751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000009851	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ENSBTAG00000051036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000008359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000036262	0	1	0	0	0	1	1	0	0	1	2	0	0	0	4	0	0	0
ENSBTAG00000045043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000043669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054327	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSBTAG00000045974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000009219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000026156	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ENSBTAG00000007939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSBTAG00000009128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000039151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000046393	1	0	7	0	1	0	5	1	0	1	0	0	0	0	7	1	0	0
ENSBTAG00000046959	0	0	0	0	0	0	0	1	0	0	1	0	0	5	12	1	0	0
ENSBTAG00000023675	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ENSBTAG00000007970	0	0	0	0	0	0	0	1	0	4	0	0	0	0	2	0	2	0
ENSBTAG00000050305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000045590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000006811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000023652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000005155	1	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000005162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000015728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000045781	337	196	540	138	311	131	116	308	266	511	288	132	131	614	931	319	255	399
ENSBTAG00000034182	0	0	2	0	1	0	0	0	0	1	0	0	1	2	3	1	0	0
ENSBTAG00000050258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000044111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000042804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000048531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000010091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000047147	0	0	3	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0
ENSBTAG00000015546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000001416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000048630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000050430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000051584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000051784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000051905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000033437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000051566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000050543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000044603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000049354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000027782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000020996	0	0	0	0	5	0	0	0	0	0	1	0	2	1	3	0	1	0
ENSBTAG00000020997	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0
ENSBTAG00000028582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000004124	0	0	0	0	2	0	0	0	0	0	8	0	0	0	2	0	0	0
ENSBTAG00000044934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000023666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000004471	1	0	4	3	0	0	0	0	4	0	1	0	0	1	0	0	1	0
ENSBTAG00000014889	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSBTAG00000013662	0	0	0	0	0	0	1	0	0	0	1	0	7	0	0	0	2	0
ENSBTAG00000013663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000013664	0	2	0	0	0	0	0	2	0	2	1	0	0	0	1	0	0	0
ENSBTAG00000013667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000015010	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0
ENSBTAG00000004833	2	0	4	0	0	0	0	2	0	6	0	0	0	2	2	0	0	0
ENSBTAG00000014302	2	0	6	0	0	0	0	0	0	0	3	0	0	2	1	2	0	0
ENSBTAG00000034442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000045333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000013321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000004459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
ENSBTAG00000012140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000016363	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0
ENSBTAG00000026836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053387	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ENSBTAG00000015662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSBTAG00000016932	0	0	0	1	0	0	0	0	3	0	0	0	0	2	0	1	0	0
ENSBTAG00000018731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024027	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ENSBTAG00000015069	0	0	0	0	0	0	0	2	0	0	4	0	3	1	0	0	2	3
ENSBTAG00000013460	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
ENSBTAG00000013461	1	1	0	0	1	1	3	4	0	2	1	0	0	6	3	1	1	8
ENSBTAG00000013464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000013465	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0
ENSBTAG00000048517	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSBTAG00000010987	0	1	0	0	4	0	0	2	0	3	0	0	0	0	3	0	0	0
ENSBTAG00000045162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000044510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000051892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000003666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000044968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000000088	0	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	0	0
